11 bit studios SA,254,1.2,251,250,254,526,132202,2018-12-11 09:26
4Fun Media SA,11.75,-5.24,12.4,11.75,12.4,801,9510,2018-12-11 09:26
AB SA,16.95,0.89,16.9,16.9,16.95,117,1981,2018-12-11 09:05
Abadon Real Estate SA,4.44,0,0,0,0,0,0,2018-12-10
ABC Data SA,0.82,-1.2,0.83,0.82,0.83,43816,36140,2018-12-11 09:15
ABM Solid SA w upadłości układowej,4.62,1.32,4.62,4.62,4.62,1,5,2018-12-11 09:00
AC SA,43,0,0,0,0,0,0,2018-12-10
Action SA w restrukturyzacji,2.94,6.52,2.71,2.71,2.94,145,396,2018-12-11 09:13
Adiuvo Investments SA,9.36,0.21,9.36,9.36,9.36,5,47,2018-12-11 09:18
Agora SA,11.25,4.65,11.2,11.2,11.25,2023,22660,2018-12-11 09:20
Agroton Plc,3.45,2.07,3.39,3.39,3.45,150,510,2018-12-11 09:17
Ailleron SA,10.15,3.57,10.15,9.8,10.15,31,314,2018-12-11 09:20
Airway Medix SA,0.7,-1.41,0.7,0.7,0.7,3000,2100,2018-12-11 09:10
Alchemia SA,4.68,0,0,0,0,0,0,2018-12-10
Alior Bank SA,54.8,0,55.4,54.25,55.4,8321,455574,2018-12-11 09:29
Alta SA,2,-0.99,2,2,2,1,2,2018-12-11 09:00
Altus TFI SA,2.1,-2.33,2.1,2.1,2.1,2067,4341,2018-12-11 09:06
Alumetal SA,42,-0.94,42,42,42,137,5754,2018-12-11 09:26
Ambra SA,11.6,1.75,11.45,11.45,11.6,6879,79302,2018-12-11 09:00
Amica SA,114.6,0,115,114.6,115,26,2986,2018-12-11 09:20
AmRest Holdings SE,40.5,0.37,40.35,40,40.5,895,36096,2018-12-11 09:28
Apator SA,25.5,1.19,25.3,25.3,25.5,213,5398,2018-12-11 09:15
Aplisens SA,10.5,0,10.5,10.5,10.5,1,11,2018-12-11 09:03
APS Energia SA,2.34,5.41,2.34,2.34,2.34,1,2,2018-12-11 09:00
Archicom SA,11.6,0.87,11.6,11.6,11.6,240,2784,2018-12-11 09:21
Arctic Paper SA,3.51,0.86,3.49,3.44,3.53,98394,345082,2018-12-11 09:27
Arcus SA,1.3,0,0,0,0,0,0,2018-12-10
Arteria SA,5.6,-0.36,5.6,5.6,5.6,1,6,2018-12-11 09:00
Artifex Mundi SA,4.58,0,4.58,4.38,4.58,201,901,2018-12-11 09:11
ASBISc Enterprises PLC,2.7,-0.74,2.72,2.7,2.72,1340,3625,2018-12-11 09:16
ASM Group SA,3.44,0,0,0,0,0,0,2018-12-10
Asseco BS SA,24.2,0,24.2,24.2,24.2,2,48,2018-12-11 09:00
Asseco Poland SA,48.3,2.16,48.3,48.3,48.3,20,966,2018-12-11 09:00
Asseco SEE SA,11.25,0,11.25,11.25,11.25,390,4388,2018-12-11 09:00
Astarta Holding NV,26.9,0.75,27,26.5,27,1467,39023,2018-12-11 09:14
Atal SA,30.2,0.67,30.2,30.2,30.2,5,151,2018-12-11 09:02
Atende SA,3.83,0.79,3.83,3.83,3.83,500,1915,2018-12-11 09:00
Atlanta Poland SA,4.57,0,0,0,0,0,0,2018-12-10
Atlantis SE,0.54,0,0,0,0,0,0,2018-12-10
Atlas Estates Ltd.,1.02,0,0,0,0,0,0,2018-12-10
ATM Grupa SA,4.8,0.21,4.8,4.8,4.8,1,5,2018-12-11 09:00
ATM SA,8.18,0,8.18,8.18,8.18,15,123,2018-12-11 09:00
Atrem SA,1.43,-2.05,1.43,1.43,1.43,100,143,2018-12-11 09:12
AUGA Group AB,1.74,0,0,0,0,0,0,2018-12-10
Auto Partner SA,3.7,0.82,3.7,3.7,3.7,1,4,2018-12-11 09:00
Awbud SA,0.69,0,0,0,0,0,0,2018-12-10
Baltic Bridge SA,0.88,0,0,0,0,0,0,2018-12-10
Baltona SA,9.28,4.74,9.28,9,9.28,1797,16648,2018-12-11 09:01
Banco Santander SA,17.1,0,17.1,17.1,17.1,142,2428,2018-12-11 09:00
Bank Handlowy SA,69.6,0.43,69.6,69.6,69.6,206,14338,2018-12-11 09:12
Bank Millennium SA,9.11,0.89,9.03,9.03,9.14,4742,43110,2018-12-11 09:24
